models,Accuracy,Recall,ROC AUC
Random Forest,0.8333333333333334,0.7380952380952381,0.9206349206349207
K-Nearest Neighbors,0.8333333333333334,0.7619047619047619,0.9047619047619048
Logistic Regression,0.8333333333333334,0.7857142857142857,0.9250992063492063
SVC,0.7444444444444445,0.6666666666666666,0.8531746031746031
